id;building_id;item_id;summ;type
1;1;1;6137;мес€ц
2;2;1;4485;мес€ц
3;3;1;2470;мес€ц
4;4;1;9360;мес€ц
5;5;1;2505;мес€ц
6;6;1;6235;мес€ц
7;7;1;4635;мес€ц
8;8;1;8440;мес€ц
9;9;1;3710;мес€ц
10;10;1;2490;мес€ц
11;11;1;3615;мес€ц
12;12;1;2530;мес€ц
13;13;1;8505;мес€ц
14;14;1;8235;мес€ц
15;15;1;3495;мес€ц
16;16;1;2525;мес€ц
17;17;1;2510;мес€ц
18;18;1;2495;мес€ц
19;19;1;10965;мес€ц
20;20;1;5870;мес€ц
21;21;1;5790;мес€ц
22;22;1;7815;мес€ц
23;23;1;3175;мес€ц
24;24;1;2440;мес€ц
25;25;1;3175;мес€ц
26;26;1;2290;мес€ц
27;27;1;1540;мес€ц
28;28;1;3295;мес€ц
29;29;1;1600;мес€ц
30;30;1;1220;мес€ц
31;31;1;1760;мес€ц
32;32;1;1930;мес€ц
33;33;1;1700;мес€ц
34;34;1;1825;мес€ц
35;35;1;1255;мес€ц
36;36;1;2740;мес€ц
37;37;1;1195;мес€ц
38;38;1;1805;мес€ц
39;39;1;2020;мес€ц
40;40;1;1800;мес€ц
41;41;1;2805;мес€ц
42;42;1;1790;мес€ц
43;43;1;4380;мес€ц
44;44;1;1785;мес€ц
45;45;1;1790;мес€ц
46;46;1;1745;мес€ц
47;47;1;1865;мес€ц
48;48;1;3790;мес€ц
49;49;1;5285;мес€ц
50;50;1;1810;мес€ц
51;51;1;1795;мес€ц
52;52;1;3325;мес€ц
53;53;1;1940;мес€ц
54;54;1;10070;мес€ц
55;55;1;2515;мес€ц
56;56;1;16765;мес€ц
57;57;1;6099.5;мес€ц
58;58;1;1840;мес€ц
59;59;1;1620;мес€ц
60;60;1;1085;мес€ц
61;61;1;1545;мес€ц
62;62;1;7421;мес€ц
63;63;1;6595;мес€ц
64;64;1;6595;мес€ц
65;65;1;4553.5;мес€ц
66;66;1;7834;мес€ц
67;67;1;2925;мес€ц
68;68;1;2790;мес€ц
69;69;1;2745;мес€ц
70;70;1;2785;мес€ц
71;71;1;9290;мес€ц
72;72;1;4826;мес€ц
73;73;1;25791;мес€ц
74;74;1;8520;мес€ц
75;75;1;3290;мес€ц
76;76;1;2720;мес€ц
77;77;1;2790;мес€ц
78;78;1;3210;мес€ц
79;79;1;8295;мес€ц
80;80;1;7700;мес€ц
81;81;1;2500;мес€ц
82;82;1;2735;мес€ц
83;83;1;2520;мес€ц
84;84;1;2585;мес€ц
85;85;1;2800;мес€ц
86;86;1;3290;мес€ц
87;87;1;3165;мес€ц
88;88;1;1345;мес€ц
89;89;1;1335;мес€ц
90;90;1;2835;мес€ц
91;91;1;8050;мес€ц
92;92;1;2845;мес€ц
93;93;1;2655;мес€ц
94;94;1;2770;мес€ц
95;95;1;5390;мес€ц
96;96;1;2440;мес€ц
97;97;1;2675;мес€ц
98;98;1;9820;мес€ц
99;99;1;3330;мес€ц
100;100;1;3230;мес€ц
101;101;1;3290;мес€ц
102;102;1;1800;мес€ц
103;103;1;6395;мес€ц
104;104;1;7920;мес€ц
105;105;1;3620;мес€ц
106;106;1;3500;мес€ц
107;107;1;2475;мес€ц
108;108;1;2610;мес€ц
109;109;1;3370;мес€ц
110;110;1;2615;мес€ц
111;111;1;9975;мес€ц
112;112;1;5915;мес€ц
113;113;1;6310;мес€ц
114;114;1;1385;мес€ц
115;115;1;1365;мес€ц
116;116;1;1410;мес€ц
117;117;1;19398.5;мес€ц
118;118;1;4859;мес€ц
119;119;1;1745;мес€ц
120;120;1;1325;мес€ц
121;121;1;1260;мес€ц
122;122;1;1985;мес€ц
123;123;1;1910;мес€ц
124;124;1;2560;мес€ц
125;125;1;2905;мес€ц
126;126;1;4915;мес€ц
