id;title;number_of_floors;number_of_entrances;number_of_elevators;number_of_chutes;number_of_residents;cleaning_area;residential_area
1;Алтайская ул., д.2;9;8;8;8;332;1227.40;9945.60
2;Алтайская ул., д.5;16;1;2;1;149;897.00;4466.80
3;Алтайская ул., д.6;12;1;2;1;100;494.00;3011.10
4;Алтайская ул., д.7;16;2;4;2;300;1872.00;8989.20
5;Алтайская ул., д.8;12;1;2;1;101;501.00;3027.50
6;Алтайская ул., д.9, к.1;9;8;8;8;365;1247.00;10939.30
7;Алтайская ул., д.9, к.2;16;1;2;1;156;927.00;4693.40
8;Алтайская ул., д.10;9;8;8;8;386;1688.00;11566.60
9;Алтайская ул., д.11;9;4;4;4;163;742.00;4884.40
10;Алтайская ул., д.14;12;1;2;1;105;498.00;3141.40
11;Алтайская ул., д.15;9;4;4;4;180;723.00;5410.28
12;Алтайская ул., д.16;12;1;2;1;106;506.00;3194.60
13;Алтайская ул., д.17, к.1;9;8;8;8;360;1701.00;10808.50
14;Алтайская ул., д.18;9;8;8;8;370;1647.00;11108.80
15;Алтайская ул., д.19;9;4;4;4;187;699.00;5621.73
16;Алтайская ул., д.20;17;2;4;2;204;505.00;6106.30
17;Алтайская ул., д.22;12;1;2;1;102;502.00;3048.20
18;Алтайская ул., д.24;12;1;2;1;103;499.00;3090.90
19;Алтайская ул., д.26;9;10;10;10;405;2193.00;12150.00
20;Алтайская ул., д.29;9;6;6;6;306;1174.00;9181.60
21;Алтайская ул., д.31;9;6;6;6;309;1158.00;9257.20
22;Алтайская ул., д.32;9;8;8;8;321;1563.00;9617.17
23;Амурская ул., д.8;5;7;0;0;144;635.00;4309.20
24;Амурская ул., д.10;5;5;0;0;119;488.00;3581.40
25;Амурская ул., д.14;5;7;0;0;123;635.00;3678.70
26;Амурская ул., д.16, к.1;5;5;0;0;98;458.00;2944.03
27;Амурская ул., д.19;4;3;0;0;67;308.00;2017.10
28;Амурская ул., д.20;5;7;0;0;122;659.00;3658.40
29;Амурская ул., д.21, к.1;4;3;0;0;60;320.00;1804.00
30;Амурская ул., д.21, к.2;4;4;0;0;53;244.00;1581.60
31;Амурская ул., д.21, к.3;5;4;0;0;80;352.00;2400.70
32;Амурская ул., д.22, к.1;5;5;0;0;41;386.00;1217.32
33;Амурская ул., д.23, к.1;5;4;0;0;74;340.00;2221.60
34;Амурская ул., д.23, к.2;5;4;0;0;79;365.00;2373.00
35;Амурская ул., д.23, к.3;4;4;0;0;59;251.00;1775.70
36;Амурская ул., д.25, к.1;5;6;0;0;113;548.00;3389.00
37;Амурская ул., д.25, к.3;5;3;0;0;56;239.00;1691.30
38;Амурская ул., д.26;5;4;0;0;78;361.00;2344.56
39;Амурская ул., д.27;5;4;0;0;81;404.00;2431.40
40;Амурская ул., д.28;5;4;0;0;80;360.00;2387.90
